Item Name,Description,Category,Vendor,SKU,Internal Code,Unit of Measure,Pack Size,Cost per Unit,Reorder Threshold,Max Par Level,Lead Time (days),Product Image URL,Review Flag
"Needle, Blood Collection 21G 1"" Visio",,Medical Supplies,McKesson,860544,LN021,box,100,,5,10,7,,
"Pipettes, Non-Sterile, Transfer",,Medical Supplies,McKesson,768918,LP020,box,500,,1,3,7,,
"Towelette, Soap",,Medical Supplies,McKesson,689284 or 120257,LT010,box,100,,5,20,7,,
"Tubes, Vacutainer, 4Ml, Lavender, Plastic",,Lab Supplies,McKesson,1008505,LT050,box,100,,10,30,7,,
"Tubes, Test, 13X100Mm",,Medical Supplies,Fisher,14-957866,LT060,box,250,,0,1,7,,
"Tubes, Transport, W/ Red Screw Cap",,Medical Supplies,Evergreen,240-3010-R60,LT070,box,1000,,0,1,7,,
"Wipes, Disposable, Kim",,Cleaning / Disinfection,McKesson,188618 or 381116,LW010,box,280,,6,16,7,,
"Wipes, Biohazard, 4"" X 4""",,Cleaning / Disinfection,McKesson,906304,LW020,pack,150,,0,12,7,,
"Mask, Hi Filtration, Paper Procedure",,Office / Admin,McKesson,1196784,M006,box,50,,20,50,7,,
"Masks, N95 Respirator/Surgical Masks",,Medical Supplies,Midwest,3M8210,M007,box,20,,25,50,7,,Duplicate internal code
"Masks, Aura N95 - 1870+",,Medical Supplies,,,M007,bag,20,,25,50,7,,Missing vendor; Duplicate internal code
"Masks, Particulate Respirator",,Medical Supplies,PSS,29833,M008,box,20,,50,100,7,,
Mouthpiece. Respironics Peak Flowmeter,,Medical Supplies,McKesson,404084,M050,case,100,,1,3,7,,
Nebulizer Tubing W/T Adapter,,Medical Supplies,McKesson,226986,N010,each,1,,50,100,7,,
"22G, 1½"", Safety",,Medical Supplies,McKesson,1159356,N120,box,100,,0,2,7,,
"23G, 1"", Safety",,Medical Supplies,McKesson,329649,N150,box,50,,10,30,7,,
"25G, 5/8"", Safety",,Medical Supplies,McKesson,1168031,N160,box,50,,10,20,7,,
"25G, 1"", Safety",,Medical Supplies,McKesson,1150038,N 170,box,50,,10,25,7,,
"25G, 1-1½"" Needle",,Medical Supplies,McKesson,1159360,N175,box,100,,3,10,7,,
"27G, ½"" Needle",,Medical Supplies,McKesson,1159363,N180,box,100,,5,20,7,,
"30G, 1/2"" Needle",,Medical Supplies,McKesson,145374,N190,box,100,,1,4,7,,
"30G, 1"" Needle",,Medical Supplies,McKesson,171222,N200,box,100,,1,4,7,,
"Oxygen Face Mask W/Tubing, Disposable, 84""",,Medical Supplies,McKesson,226849,O010,each,1,,0,1,7,,
"Bags, IUHC, Plastic 1000/$510",,Office / Admin,Tabco,,OB010,pack,50,,5,25,7,,
"Battery, AA",,Office / Admin,Staples,464050,OB050,each,1,,24,72,7,,
"Battery, AAA",,Office / Admin,Staples,DURMN24P36,OB060,each,1,,6,30,7,,
"Battery, C",,Office / Admin,Staples,410699,OB070,each,1,,18,42,7,,
"Battery, D",,Office / Admin,Staples,410698,OB080,each,1,,16,64,7,,
"Battery, 9V",,Office / Admin,Staples,503573,OB090,each,1,,0,4,7,,
"Sheet Protector, Clear Plastic, 3-Hole",,Office / Admin,Staples,64101,OB100,each,1,,0,50,7,,
"1"" 3-Ring Binder",,Office / Admin,Staples,24416747,OB110,each,1,,0,2,7,,
Calendar Refills,,Office / Admin,Guy Brown,,OC020,each,1,,0,10,7,,
"Campus Envelope, Large, Red Edge",,Office / Admin,Document Svc,PR755,OE020,pack,50,,15,35,7,,
"Plain Envelope, Large, White",,Office / Admin,Staples,187013,OE050,pack,20,,1,26,7,,
"Iu Return Address Envelope, Large",,Office / Admin,Print,,OE070,pack,50,,15,40,7,,
Double Window Envelope,,Office / Admin,Staples,266759,OE080,box,500,,2,4,7,,
"Manila Envelope, 6""X9""",,Office / Admin,Staples,534693,OE095,pack,10,,7,17,7,,
"Manila Envelope, 9""X12""",,Office / Admin,Staples,486940,OE110,pack,10,,5,30,7,,
"Manila Envelope, 10""X13""",,Office / Admin,Staples,487494,OE120,pack,10,,3,13,7,,
"Manila Envelope, 11.5"" X 14.5""",,Office / Admin,Staples,535039,OE 130,pack,10,,0,5,7,,
"File Folders, Hanging, Letter Size",,Office / Admin,Staples,116764,OF060,each,1,,25,50,7,,
"File Folders, Letter Size, Tab On Right",,Office / Admin,Staples,508812,OF070,each,1,,10,50,7,,
"File Pocket, Letter Size",,Office / Admin,Guy Brown,F124915,OF080,each,1,,0,50,7,,
Labels For Dymo Printer 1-Up,,Lab Supplies,Guy Brown,377179,OL050,box,700,,20,40,7,,
"Fax, Printer Or Copier, Bond, 8.5""X11""",,Office / Admin,Staples,135848,OP010,ream,500,,50,120,7,,
"Bond, Canary, 8.5""X11""",,Office / Admin,Staples,490948,OP020,ream,500,,4,24,7,,
"IUSHC Letterhead, 8.5""X11""",,Office / Admin,Document Svc,,OP035,pack,100,,0,5,7,,
"Notebook, Stenographer",,Office / Admin,Staples,163485,OP050,pad,1,,12,36,7,,
"Post-It-Notes, Yellow, 1.5""X2""",,Office / Admin,Staples,105791,OP055,pad,1,,36,96,7,,
"Post-It-Notes, Yellow, 3""X3""",,Office / Admin,Staples,704406,OP060,pad,1,,36,120,7,,
"Post-It-Notes, Yellow, 3""X5""",,Office / Admin,Staples,130229,OP065,pad,1,,24,72,7,,
"Scratch Pad, White, 4""X6""",,Office / Admin,Staples,811131,OP080,pad,1,,12,36,7,,
"Scratch Pad, Ruled, Yellow, Legal",,Office / Admin,Staples,831293,OP085,pad,1,,12,36,7,,
"Scratch Pad, Ruled, White, Letter",,Office / Admin,Staples,246793,OP090,pad,1,,12,36,7,,
Telephone Message,,Office / Admin,Staples,248963,OP100,pad,50,,4,26,7,,
Transmittal Slip,,Office / Admin,Document Svc,,OP110,pad,100,,1,5,7,,
"Paper Clamps. #2, 1.5""",,Office / Admin,Staples,378812,OP200,box,50,,0,2,7,,
"Paper Clips, #1",,Office / Admin,Staples,472480,OP210,box,100,,10,30,7,,
"Paper Clips, Jumbo, 2""",,Office / Admin,Staples,525923,OP220,box,100,,10,30,7,,
"Ball Point Pen, Black, Fine Point",,Office / Admin,Staples,123729,OP400,box,12,,4,16,7,,
"Ball Point Pen, Black, Medium Point",,Office / Admin,Staples,382241,OP410,box,12,,4,16,7,,
"Felt-Tip Pen, Red",,Office / Admin,Guy Brown,2336362,OP430,each,1,,2,14,7,,
"Highlighter Marker, Yellow",,Office / Admin,Staples,104869,OP440,each,1,,4,16,7,,
"Mechanical Lead Refill, 0.5Mm",,Office / Admin,Staples,108381,OP510,pack,12,,1,13,7,,
"Purell Hand Sanitizer, 12 oz",,Medical Supplies,McKesson,714107,OS010,each,1,,12,72,7,,
Staples,,Office / Admin,Staples,UNV7900VP,OS020,box,5000,,1,6,7,,
"Calculator Tape, 2 1/4""",,Office / Admin,Staples,901656,OT030,each,1,,2,14,7,,
"Invisible Scotch Tape, 3/4""",,Office / Admin,Staples,512320,OT040,roll,1,,12,36,7,,
Double-Sided Scotch Tape,,Office / Admin,Staples,727095,OT 050,roll,1,,2,8,7,,
Tissues - Regular,,Medical Supplies,McKesson,60594,OT 230,box,125,,72,144,7,,
Tissues - Small,,Medical Supplies,McKesson,122358,OT 240,box,40,,20,80,7,,
"Tissues, Individual Packs",,Medical Supplies,,,OT250,each,1,,,,7,,Missing par/max; Missing vendor
Peak Flowmeters,,Medical Supplies,McKesson,489086,P075,each,1,,5,20,7,,
"Pillowcases, Disposable",,Medication / Pharmacy,McKesson,1107575,P 099,case,100,,1,4,7,,
"Normal Saline, 250Ml",,Medical Supplies,McKesson,520118,S 010,bottle,1,,18,66,7,,
Normal Saline 30 Ml Saljet,,Medical Supplies,McKesson,583034,S 015,box,40,,4,10,7,,
"Scalpel, Dispos. W/Safety Guard Sz 11",,Medical Supplies,McKesson,911767,S 020,box,10,,3,7,7,,
"Scalpel, Disposable W/Handles, Sz 15",,Medical Supplies,McKesson,410894,S 025,box,10,,2,6,7,,
"Surgical Blades, Sz 15",,Medical Supplies,McKesson,199999,S 030,box,50,,1,3,7,,
"Sharps Container, Lab, 1.4 Qt",,Lab Supplies,McKesson,140597,S 050,each,1,,10,46,7,,
"Sharps Container, Ac Wall, 5 Qt",,Medical Supplies,McKesson,855126,S 055,each,1,,10,40,7,,
"Sharps Container, 6.9 Qt",,Medical Supplies,McKesson,140599,S 060,each,1,,12,36,7,,
"Sharps Container, Lab, 2 Gallon",,Lab Supplies,McKesson,855063 or 138112,S 065,each,1,,12,36,7,,
"Speculum Covers, 4.25Mm",,Medical Supplies,McKesson,487037,S130,bag,850,,4,8,7,,
"Vaginal Speculums, Lighted, Medium",,Medical Supplies,McKesson,584270,S 140,box,25,,0,1,7,,
"Vaginal Speculums, Lighted, Small",,Medical Supplies,McKesson,584269,S 150,box,24,,10,46,7,,
"Syringe, Tuberculin, 1 Ml, No Needle, W/Luer Lock",,Medical Supplies,McKesson,1266868,S 200,box,100,,15,30,7,,
"Syringe, 3Cc 20G 1 1/2"" Needle",,Medical Supplies,McKesson,BD 309579,S 210,box,100,,0,1,7,,
"Syringe, 3Cc, 22G, 1 1/2"" Needle, Safety",,Medical Supplies,McKesson,338357 or 1168028,S 215,box,50,,1,3,7,,
"Syringe, 3Cc, 23G, 1"" Needle, Safety",,Medical Supplies,McKesson,338356,S 220,box,50,,6,20,7,,
"Syringe, 3Cc, 25G 1"" Needle, Safety",,Medical Supplies,McKesson,567286,S 225,box,50,,8,16,7,,
"Syringe, 3Cc, 25G, 5/8"" Needle, Safety",,Medical Supplies,McKesson,338355 or 1150042,S 230,box,50,,2,9,7,,
"Syringe, 60Cc",,Medical Supplies,McKesson,1257388,S 235,box,25,,2,4,7,,
"Aso Ankle, X-Small",,Sale Items,Ortho Depot,,SI A300,each,1,,2,6,7,,
"Aso Ankle, Small",,Sale Items,McKesson,,SI A301,each,1,,3,9,7,,
"Aso Ankle, Medium",,Sale Items,McKesson,,SI A302,each,1,,3,12,7,,
"Aso Ankle, Large",,Sale Items,McKesson,,SI A303,each,1,,2,8,7,,
"Aso Ankle, X-Large",,Sale Items,Ortho Depot,,SI A304,each,1,,1,3,7,,
"Aso Ankle, Xx-Large",,Sale Items,Ortho Depot,,SI A305,each,1,,0,1,7,,
Air Walker/Sm,,Sale Items,DJ Ortho,,SI A400,each,1,,6,12,7,,
Air Walker/Med,,Sale Items,DJ Ortho,,SI A401,each,1,,12,26,7,,
Air Walker/Lg,,Sale Items,DJ Ortho,,SI A402,each,1,,8,16,7,,
